id_institution_subnet,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
69.0,0.08638145813688024,2.3788619786625564,True,11,True,8,True,3,True,2,True,11,True,6,True,2,True,1,True,11,True,6,True,2,True,1,True,11,True,4,True,1,True,1,True,10,True,2,True,1,True,1,True,10,True,1,True,1,False,0,True,9,True,1,True,1,False,0,True,5,True,1,True,1,False,0,True,4,True,1,True,1,False,0,True,5,True,1,False,0,False,0,True,4,True,1,False,0,False,0,1.7278539973920355,1.7278539973920355,1.0631409111142676,1.0631409111142676,0.5239336619270824,0.5239336619270824,0.33110716968449017,0.33110716968449017
499.0,0.8845600277929426,2.366861570472039,True,11,True,5,True,2,True,2,True,9,True,4,True,2,True,2,True,8,True,4,True,2,True,1,True,8,True,2,True,1,True,1,True,7,True,1,True,1,True,1,True,7,True,1,True,1,True,1,True,6,True,1,True,1,True,1,True,5,True,2,False,0,False,0,True,5,True,2,False,0,False,0,True,5,True,2,False,0,False,0,True,3,True,2,False,0,False,0,1.215096492360406,1.0829563390754557,0.7183488514095318,0.7183488514095318,0.43063081191790115,0.43063081191790115,0.43063081191790115,0.43063081191790115
38.0,1.0,3.311640780560279,True,13,True,7,True,4,False,1,True,13,True,7,True,3,False,1,True,13,True,7,True,3,False,1,True,13,True,6,True,3,False,1,True,13,True,6,True,2,False,1,True,13,True,6,True,2,False,1,True,13,True,6,True,2,False,1,True,12,True,6,True,2,False,1,True,11,True,6,True,2,False,1,True,10,True,6,True,2,False,1,True,9,True,6,True,2,False,1,2.868315675666765,0.9768416075471522,1.223827170529659,0.9271512465690378,0.9352044793521047,0.9256378897914828,0.6998790959119957,0.02852875421722554
27.0,0.9923569407911063,2.2473547513555228,True,12,False,5,False,3,False,2,True,14,False,5,False,2,False,0,True,11,False,5,False,2,False,0,True,10,False,4,False,0,False,0,True,9,False,4,False,0,False,0,True,9,False,4,False,0,False,0,True,8,False,4,False,0,False,0,True,7,False,2,False,0,False,0,True,5,False,1,False,0,False,0,False,4,False,1,False,0,False,0,False,4,False,0,False,0,False,0,1.5998190744176177,0.5384461986081611,0.579631431523628,0.09104784324339836,0.22445383067105054,0.09104784324339836,0.13366562739615906,0.07375702256946352
232.0,0.0,0.0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.9869224279120552,2.032272033943742,True,13,True,4,True,2,False,0,True,10,True,1,True,1,False,0,True,9,True,1,True,1,False,0,True,8,True,1,True,1,False,0,True,8,True,1,False,0,False,0,True,8,True,1,False,0,False,0,True,8,False,0,False,0,False,0,True,7,False,0,False,0,False,0,True,6,False,0,False,0,False,0,True,4,False,0,False,0,False,0,False,1,False,0,False,0,False,0,1.2571257955186628,0.5907450266215696,0.3772620663262262,0.3772620663262262,0.28893751502207293,0.28893751502207293,0.08166299621879801,0.05836432449001028
345.0,1.0,0.5153575550306712,True,6,True,3,False,1,False,0,True,2,True,2,False,0,False,0,True,2,True,2,False,0,False,0,True,2,True,2,False,0,False,0,True,2,True,1,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.3865077527111287,0.3271021287074945,0.30912055689057044,0.30912055689057044,0.10728455293539767,0.054868631241908744,0.004388752263772519,0.00218378934513203
282.0,0.9820834780882426,1.2965670203671864,True,9,True,5,True,2,False,0,True,5,True,4,True,2,False,0,True,5,True,2,False,1,False,0,True,3,True,2,False,1,False,0,True,4,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.882816196272109,0.7123372199489738,0.530823777265554,0.530823777265554,0.2956644848302003,0.19673053063539936,0.07389090508289857,0.00026145897863953915
185.0,0.561888927490198,0.6827980805167791,True,10,True,4,False,1,False,0,True,7,True,3,False,1,False,0,True,4,False,1,False,1,False,0,True,4,False,1,False,1,False,0,False,2,False,1,False,1,False,0,False,2,False,1,False,1,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4185094268027305,0.2615515961948443,0.3768520819748104,0.17749476847876125,0.3768520819748104,0.07314002133426607,0.05211267241672626,0.00039250724330806846
477.0,0.163854285572485,1.2615810298693453,True,10,True,4,False,1,False,0,True,6,True,3,False,1,False,0,True,6,True,2,False,1,False,0,True,4,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,3,False,0,False,0,False,0,0.9051510364191607,0.9051510364191607,0.5809042292526929,0.5809042292526929,0.20517071915011212,0.05834766353298559,0.06336487427944165,0.018941841956959412
137.0,0.967616258871408,1.903257187662028,True,8,True,6,False,3,False,1,True,7,True,4,False,2,False,1,True,6,True,4,False,2,False,1,True,4,False,2,False,2,False,1,True,3,False,2,False,2,False,1,True,3,False,2,False,1,False,1,True,3,False,2,False,1,False,1,False,2,False,2,False,1,False,1,False,3,False,2,False,0,False,0,False,3,False,2,False,0,False,0,False,2,False,1,False,0,False,0,1.3323189913168667,0.4230649168088089,0.7460149457183831,0.24306532669400419,0.49977905749397666,0.028399396795279454,0.49977905749397666,0.0004339565306224176
385.0,0.9999503697453967,0.8873158905040519,True,11,True,5,True,1,False,0,True,9,True,3,True,1,False,0,True,7,True,1,True,1,False,0,True,5,True,1,True,1,False,0,True,4,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,0.7980350302676023,0.7980350302676023,0.6706859632948048,0.6706859632948048,0.2500817521556288,0.2500817521556288,0.0011017108969908068,0.0004893455131018602
87.0,0.9978410839247606,3.3259175599896023,True,8,True,4,True,4,True,4,True,8,True,4,True,4,False,3,True,8,True,4,True,4,False,3,True,8,True,4,True,4,False,2,True,7,True,4,True,4,False,2,True,8,True,4,True,4,False,2,True,8,True,4,True,4,False,2,True,8,True,4,True,4,False,2,True,9,True,4,True,4,False,2,True,10,True,4,True,4,False,2,True,11,True,3,True,3,False,1,3.101735490914814,3.101735490914814,0.9539901086738798,0.7974383536583817,0.9436183580378149,0.6344294044337279,0.9436183580378149,0.14901018560462784
81.0,0.9334458285771006,0.9474321062696952,True,4,True,3,True,1,False,0,True,4,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4311076380911893,0.4311076380911893,0.23895074595552496,0.23895074595552496,0.10563259917748635,0.10563259917748635,0.016385706992424295,0.016385706992424295
285.0,0.9934488063923768,0.6204864440399968,True,6,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5014410615367482,0.5014410615367482,0.20224753147270882,0.20224753147270882,0.02481458830655011,0.02481458830655011,0.02481458830655011,0.02481458830655011
86.0,0.9745644945158569,2.101140383101396,True,5,True,2,True,2,True,1,True,5,True,2,True,2,True,1,True,2,True,2,True,2,True,1,True,2,True,2,True,2,True,1,True,2,True,2,True,2,True,1,True,2,True,2,True,2,True,1,True,2,True,2,True,1,False,0,True,2,True,2,True,1,False,0,True,2,True,2,True,1,False,0,True,2,True,2,True,1,False,0,True,2,True,2,True,1,False,0,1.4877002499943484,0.8995535830068068,0.8209638701722165,0.8209638701722165,0.6521499144421127,0.6521499144421127,0.3945192190950723,0.3945192190950723
431.0,0.5239465978460469,0.6875393579452113,True,8,True,3,False,1,False,0,True,6,True,2,False,0,False,0,True,4,True,1,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.3858177949424479,0.3274405075061074,0.21652610137429273,0.21652610137429273,0.10002685185011531,0.08610506518297528,0.07292304165379208,0.014192850003707791
66.0,0.9928036130825351,3.395723382150707,True,9,True,4,True,1,False,0,True,8,True,2,True,1,False,0,True,3,True,2,True,1,False,0,True,3,True,2,True,1,False,0,True,3,True,2,True,1,False,0,True,2,True,2,True,1,False,0,True,2,True,2,True,1,False,0,True,2,True,2,True,1,False,0,True,2,True,2,True,1,False,0,True,2,True,2,False,0,False,0,True,2,True,2,False,0,False,0,3.095707098062857,0.7196420277460299,1.643702134251609,0.6304820003658741,0.5043329571673084,0.5043329571673084,0.02140082178999332,0.02140082178999332
