id_institution,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
259.0,0.9992557308722834,2.8077891521946428,True,9,True,7,True,5,True,2,True,8,True,7,True,5,True,2,True,9,True,6,True,3,True,2,True,9,True,6,True,3,True,2,True,10,True,6,True,3,True,1,True,10,True,5,True,3,True,1,True,10,True,4,True,3,True,1,True,11,True,5,False,2,False,0,True,11,False,3,False,2,False,0,True,11,False,2,False,2,False,0,True,9,False,2,False,1,False,0,1.8797179373770092,0.8296817554373886,0.6495474231241555,0.4683229278218493,0.6077587062246066,0.4350890429567008,0.42267993368259893,0.42267993368259893
138.0,0.9995534385233701,0.7975521811905683,True,6,True,3,False,2,False,0,True,4,False,2,False,1,False,0,True,4,False,2,False,0,False,0,True,3,False,2,False,0,False,0,False,2,False,1,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,0.626514059569519,0.256297205972721,0.3120169564187828,0.13886706206923088,0.17873910079176172,0.023887108860156877,0.006587455124943211,0.003823334869027588
67.0,0.9998511461744567,0.5810303974001646,True,6,True,2,False,1,False,0,True,5,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4869751694921892,0.4869751694921892,0.2735965216563481,0.2735965216563481,0.12311093899834062,0.031074375081285615,0.04643226611856889,0.005732314926030607
147.0,0.9998511461744567,0.9063482457976365,True,11,True,3,False,0,False,0,True,8,True,2,False,0,False,0,True,7,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.6036168382398132,0.6036168382398132,0.28581734282473337,0.28581734282473337,0.027098156629577427,0.023436141400680215,0.023436141400680215,0.023436141400680215
252.0,0.9998511461744567,0.6931049771237817,True,9,True,3,False,0,False,0,True,7,True,1,False,0,False,0,True,5,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.445161560820818,0.445161560820818,0.15690563225964177,0.15690563225964177,0.09884122572846658,0.01614076966355637,0.09331444956827126,0.004079374403713937
53.0,0.9998511461744567,0.6219592042504248,True,10,True,3,False,1,False,0,True,5,True,3,False,1,False,0,True,4,True,3,False,1,False,0,True,3,True,3,False,0,False,0,True,3,True,2,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.566222541461313,0.566222541461313,0.34902340501094875,0.30088719616047815,0.20156740235847076,0.02651269068228088,0.0026475165758344126,0.0008918746964620605
131.0,0.9998511461744567,0.5327324600966454,True,7,True,2,False,0,False,0,True,5,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.49010728771036693,0.49010728771036693,0.21921235102084113,0.21921235102084113,0.07995804763425944,0.07995804763425944,0.034773984291017884,0.034773984291017884
42.0,0.9998511461744567,0.8835118208437616,True,9,True,3,False,1,False,0,True,7,True,3,False,0,False,0,True,6,True,2,False,0,False,0,True,5,True,1,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5800106213336828,0.5800106213336828,0.2994160935980278,0.2994160935980278,0.13054446773266848,0.05642619970856137,0.04177282536321334,0.007558215396943056
46.0,0.9998511461744567,0.7347232786123694,True,10,True,3,True,1,False,0,True,7,True,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5871665798053638,0.5871665798053638,0.19639083559372292,0.19639083559372292,0.14605275054316874,0.14605275054316874,0.010689719007163525,0.002368710260500125
248.0,0.9998511461744567,0.8577396682844303,True,10,True,3,False,0,False,0,True,7,True,3,False,0,False,0,True,5,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.792670288297441,0.792670288297441,0.37521755487705993,0.37521755487705993,0.017916182688005388,0.017916182688005388,0.01409993869223669,0.01409993869223669
36.0,0.9998511461744567,0.5556098022583155,True,5,True,3,True,1,False,0,True,4,True,2,True,1,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4536857431124251,0.4536857431124251,0.19165985825966408,0.19165985825966408,0.15665812033487225,0.15665812033487225,0.003605543279520477,0.003605543279520477
11.0,0.9998511461744567,1.3025180688616194,True,9,True,4,True,1,False,0,True,7,True,3,True,1,False,0,True,5,True,2,False,0,False,0,True,5,True,2,False,0,False,0,True,4,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,2,True,2,False,0,False,0,True,2,True,2,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.9274701178508661,0.9274701178508661,0.5333881639300444,0.5333881639300444,0.19232853971766994,0.19232853971766994,0.0059205081953880604,0.0059205081953880604
49.0,0.9998511461744567,0.6885633391834927,True,7,True,3,False,1,False,0,True,6,True,2,False,1,False,0,True,5,True,1,False,0,False,0,True,5,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5175229814116274,0.5175229814116274,0.2741834998658822,0.2741834998658822,0.15196852966166552,0.01825080004309875,0.03726877115873313,0.0008210791435710636
